chain_name,official_url,crawl_url,location_name,address,city,source_location_code,location_url,source_url
天台影城,https://www.t-movies.com.tw/,https://www.t-movies.com.tw/index.php,三重天台影城,新北市三重區重新路二段78號4F(天台廣場),新北市,main,https://www.t-movies.com.tw/index.php,https://www.t-movies.com.tw/index.php
威尼斯影城,https://www.venice-cinemas.com.tw/,https://www.venice-cinemas.com.tw/showtime.php,桃園中壢威尼斯影城,桃園市中壢區九和一街48號3樓之2,桃園市,main,https://www.venice-cinemas.com.tw/showtime.php?movie_date=&page=2,https://www.venice-cinemas.com.tw/showtime.php?movie_date=&page=2
百老匯影城,https://www.broadway-cineplex.com.tw/,https://www.broadway-cineplex.com.tw/book.html,公館百老匯影城,台北市文山區羅斯福路四段200號,台北市,Taipei,https://www.broadway-cineplex.com.tw/book.html?obj=Taipei&v25080101,https://www.broadway-cineplex.com.tw/contact.html
百老匯影城,https://www.broadway-cineplex.com.tw/,https://www.broadway-cineplex.com.tw/book.html,竹北百老匯影城,新竹縣竹北市自強南路36號3~5樓,新竹縣,Zhubei,https://www.broadway-cineplex.com.tw/book.html?obj=Zhubei&v25080101,https://www.broadway-cineplex.com.tw/contact.html
親親影城 / 親親戲院,https://www.ccmovie.com.tw/,https://www.ccmovie.com.tw/product.php?_path=product_showtimes,親親影城,台中市北區北屯路14號,台中市,main,https://www.ccmovie.com.tw/product.php?_path=product_showtimes,https://www.ccmovie.com.tw/product.php?_path=product_showtimes
王牌映画影城,https://www.acecinema.com.tw/,https://www.acecinema.com.tw/movie/now,王牌映画影城－廣三SOGO店,台中市西區臺灣大道二段459號18樓,台中市,main,https://www.acecinema.com.tw/movie/now,https://www.acecinema.com.tw/movie/now
環球中華影城,https://www.uch-movies.tw/,https://www.uch-movies.tw/time.aspx,斗六環球中華影城,雲林縣斗六市雲林路二段19號,雲林縣,main,https://www.uch-movies.tw/time.aspx,https://www.uch-movies.tw/time.aspx
高雄環球影城,https://www.u-movie.com.tw/,https://www.u-movie.com.tw/cinema/page.php?page_type=now&ver=tw&portal=cinema,高雄環球影城,高雄市苓雅區大順三路108號,高雄市,main,https://www.u-movie.com.tw/cinema/page.php?page_type=now&ver=tw&portal=cinema,https://www.u-movie.com.tw/cinema/page.php?page_type=now&ver=tw&portal=cinema
中影屏東影城,https://ptcinema.movie.com.tw/,https://ptcinema.movie.com.tw/time?date={date},中影屏東影城,屏東縣屏東市民生路248號,屏東縣,main,,https://ptcinema.movie.com.tw/contact
新月豪華影城,https://www.lunacinemax.com.tw/,https://www.lunacinemax.com.tw/time_schedule.aspx,宜蘭新月豪華影城,宜蘭縣宜蘭市民權路二段38巷2號,宜蘭縣,main,https://www.lunacinemax.com.tw/time_schedule.aspx,https://www.lunacinemax.com.tw/time_schedule.aspx
日新戲院 / 宜蘭電影資訊網,https://ilanmovie.com/,https://ilanmovie.com/index.php,羅東日新戲院本館,宜蘭縣羅東鎮中山西街17之1號,宜蘭縣,main,https://ilanmovie.com/index.php,https://ilanmovie.com/index.php
日新戲院 / 宜蘭電影資訊網,https://ilanmovie.com/,https://ilanmovie.com/index.php,羅東日新戲院統一廳,宜蘭縣羅東鎮公園路100號3樓,宜蘭縣,united,https://ilanmovie.com/index.php,https://ilanmovie.com/index.php
金獅影城,https://cinemax.windlion.com.tw/,https://cinemax.windlion.com.tw/movies.php#anchor,金門金獅影城,金門縣金湖鎮中山路8-8號西棟3F,金門縣,main,https://cinemax.windlion.com.tw/movies.php#anchor,https://cinemax.windlion.com.tw/show.php?id=20
